Month	L	M       	S	SD	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
24	1	 85.7153	0.03764	3.2267	76.0	79.3	82.5	85.7	88.9	92.2	95.4
25	1	 86.5904	0.03786	3.2783	76.8	80.0	83.3	86.6	89.9	93.1	96.4
26	1	 87.4462	0.03808	3.3300	77.5	80.8	84.1	87.4	90.8	94.1	97.4
27	1	 88.2830	0.03830	3.3812	78.1	81.5	84.9	88.3	91.7	95.0	98.4
28	1	 89.1004	0.03851	3.4313	78.8	82.2	85.7	89.1	92.5	96.0	99.4
29	1	 89.8991	0.03872	3.4809	79.5	82.9	86.4	89.9	93.4	96.9	100.3
30	1	 90.6797	0.03893	3.5302	80.1	83.6	87.1	90.7	94.2	97.7	101.3
31	1	 91.4430	0.03913	3.5782	80.7	84.3	87.9	91.4	95.0	98.6	102.2
32	1	 92.1906	0.03933	3.6259	81.3	84.9	88.6	92.2	95.8	99.4	103.1
33	1	 92.9239	0.03952	3.6724	81.9	85.6	89.3	92.9	96.6	100.3	103.9
34	1	 93.6444	0.03971	3.7186	82.5	86.2	89.9	93.6	97.4	101.1	104.8
35	1	 94.3533	0.03989	3.7638	83.1	86.8	90.6	94.4	98.1	101.9	105.6
36	1	 95.0515	0.04006	3.8078	83.6	87.4	91.2	95.1	98.9	102.7	106.5
37	1	 95.7399	0.04024	3.8526	84.2	88.0	91.9	95.7	99.6	103.4	107.3
38	1	 96.4187	0.04041	3.8963	84.7	88.6	92.5	96.4	100.3	104.2	108.1
39	1	 97.0885	0.04057	3.9389	85.3	89.2	93.1	97.1	101.0	105.0	108.9
40	1	 97.7493	0.04073	3.9813	85.8	89.8	93.8	97.7	101.7	105.7	109.7
41	1	 98.4015	0.04089	4.0236	86.3	90.4	94.4	98.4	102.4	106.4	110.5
42	1	 99.0448	0.04105	4.0658	86.8	90.9	95.0	99.0	103.1	107.2	111.2
43	1	 99.6795	0.04120	4.1068	87.4	91.5	95.6	99.7	103.8	107.9	112.0
44	1	100.3058	0.04135	4.1476	87.9	92.0	96.2	100.3	104.5	108.6	112.7
45	1	100.9238	0.04150	4.1883	88.4	92.5	96.7	100.9	105.1	109.3	113.5
46	1	101.5337	0.04164	4.2279	88.9	93.1	97.3	101.5	105.8	110.0	114.2
47	1	102.1360	0.04179	4.2683	89.3	93.6	97.9	102.1	106.4	110.7	114.9
48	1	102.7312	0.04193	4.3075	89.8	94.1	98.4	102.7	107.0	111.3	115.7
49	1	103.3197	0.04206	4.3456	90.3	94.6	99.0	103.3	107.7	112.0	116.4
50	1	103.9021	0.04220	4.3847	90.7	95.1	99.5	103.9	108.3	112.7	117.1
51	1	104.4786	0.04233	4.4226	91.2	95.6	100.1	104.5	108.9	113.3	117.7
52	1	105.0494	0.04246	4.4604	91.7	96.1	100.6	105.0	109.5	114.0	118.4
53	1	105.6148	0.04259	4.4981	92.1	96.6	101.1	105.6	110.1	114.6	119.1
54	1	106.1748	0.04272	4.5358	92.6	97.1	101.6	106.2	110.7	115.2	119.8
55	1	106.7295	0.04285	4.5734	93.0	97.6	102.2	106.7	111.3	115.9	120.4
56	1	107.2788	0.04298	4.6108	93.4	98.1	102.7	107.3	111.9	116.5	121.1
57	1	107.8227	0.04310	4.6472	93.9	98.5	103.2	107.8	112.5	117.1	121.8
58	1	108.3613	0.04322	4.6834	94.3	99.0	103.7	108.4	113.0	117.7	122.4
59	1	108.8948	0.04334	4.7195	94.7	99.5	104.2	108.9	113.6	118.3	123.1
60	1	109.4233	0.04347	4.7566	95.2	99.9	104.7	109.4	114.2	118.9	123.7
