covariate,measure,gbd,include,release
access2,mean,F,T,2019_06_10
crutscld,mean,F,T,2020_07_01
crutsdtr,mean,F,T,2020_07_01
crutsfrs,sum,F,T,2020_07_01
crutspet,mean,F,T,2020_07_01
crutstmx,mean,F,T,2020_07_01
distriverslakes,mean,F,T,2019_06_10
crutswet,sum,F,T,2019_06_10
elevation,mean,F,T,2019_06_10
evi_v6,mean_mean,F,T,2019_06_10
ghslurbanicity,mean,F,T,2020_05_12
growingseason,mean,F,T,2019_06_10
irrigation,mean,F,T,2019_06_10
nexndvi,mean,F,T,2019_06_10
mswep,sum,F,T,2019_06_10
tcb_v6,mean_mean,F,T,2019_06_10
worldpop_raked,total,F,T,2020_03_20
lst_diurnal_diff_v6,mean_mean,F,T,2019_06_10
edu_mean_stage2pl,mean,F,T,2019_06_10
anc4_coverage_prop,mean,T,T,
mx_warterror_10years,mean,T,T,
ldi_pc,mean,T,T,
bias_corr_vacc_mcv1,mean,F,T,2020_07_31
