"","covariate","measure","include","gbd"
"1","access2","mean",TRUE,FALSE
"2","aridity","mean",TRUE,FALSE
"3","depratio","youngage",TRUE,FALSE
"4","distriverslakes","mean",TRUE,FALSE
"5","edu_mean_stage2","mean",TRUE,FALSE
"6","elevation","mean",TRUE,FALSE
"7","fertility","mean",TRUE,FALSE
"8","ghslurbanicity","mean",TRUE,FALSE
"9","herreronyield","vita",TRUE,FALSE
"10","irrigation","mean",TRUE,FALSE
"11","landcover","proportionalclass13",TRUE,FALSE
"12","wasting_mod_b","mean",TRUE,FALSE
"13","worldpop_raked","a0004t",TRUE,FALSE
