"","covariate","measure","include","gbd"
"1","access2","mean",TRUE,FALSE
"2","aridity","mean",TRUE,FALSE
"3","depratio","youngage",TRUE,FALSE
"4","distriverslakes","mean",TRUE,FALSE
"5","dmspntl","mean",TRUE,FALSE
"6","dpt3_cov","mean",TRUE,FALSE
"7","elevation","mean",TRUE,FALSE
"8","ghslurbanicity","mean",TRUE,FALSE
"9","herreronyield","vita",TRUE,FALSE
"10","irrigation","mean",TRUE,FALSE
"11","sanitation_prop","mean",TRUE,TRUE
"12","stunting_mod_b","mean",TRUE,FALSE
"13","wasting_mod_b","mean",TRUE,FALSE
"14","water_prop","mean",TRUE,TRUE
"15","worldpop_raked","a0004t",TRUE,FALSE
